"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"AC015802.6-201",2,1,0,0,0,1
"AC015813.2-201",0,0,1,0,1,1
"AC017083.3-201",0,0,0,0,0,0
"AC018362.3-201",0,0,0,0,0,0
"AC018512.1-201",0,0,0,0,0,0
"AC018523.2-201",0,0,0,0,0,0
"AC018554.3-201",0,0,0,0,1,0
"AC018709.1-201",0,0,0,0,0,0
"AC018755.2-202",0,0,0,0,0,0
"AC019117.2-201",0,0,0,1,0,0
"AC020636.2-201",0,0,0,0,0,0
"AC020907.6-201",0,0,0,0,0,0
"AC020909.1-201",1,0,0,3,0,1
"AC020915.1-201",0,0,0,1,0,0
"AC020915.5-201",0,0,0,0,0,0
"AC020922.1-201",0,0,0,0,0,0
"AC021072.1-201",0,0,0,0,0,0
"AC021097.2-201",0,0,0,0,0,0
"AC021097.3-201",0,0,0,0,1,0
"AC021660.3-201",0,0,0,0,0,0
"AC022167.5-201",0,0,0,0,0,0
"AC022335.1-202",0,0,0,0,0,0
"AC022384.1-201",0,3,0,2,0,0
"AC022400.6-201",0,0,0,0,0,0
"AC022414.1-201",0,0,0,0,0,0
"AC022506.1-201",0,0,1,3,1,1
"AC022826.2-201",0,0,0,0,0,1
"AC023055.1-201",0,0,0,0,0,0
"AC023509.3-202",0,0,0,0,0,0
"AC025263.2-201",0,0,0,0,0,0
"AC025283.2-201",0,0,0,0,0,0
"AC025283.3-202",0,0,0,0,0,0
"AC025287.4-201",1,0,0,0,0,0
"AC026316.5-201",0,0,0,0,0,0
"AC026398.1-201",1,0,0,0,0,0
"AC026464.1-202",0,0,0,0,0,0
"AC026464.6-201",0,0,0,0,0,0
"AC026786.1-201",0,0,0,1,1,0
"AC026954.2-202",1,0,0,0,0,0
"AC027644.4-201",0,0,0,0,0,0
