"transcript","20200717-NSP1-HEK-1-setB","20200717-NSP1-HEK-2-setB","20200717-NSP1-HEK-3-setB","20200717-NSP2-HEK-1-setB","20200717-NSP2-HEK-2-setB","20200717-NSP2-HEK-3-setB"
"NPIPB6-201",0,0,0,0,0,0
"NPIPB7-202",0,1,0,1,0,0
"NPIPB8-202",0,0,0,0,0,0
"NPIPB9-202",6,10,4,5,10,13
"NPL-201",9,8,4,9,8,8
"NPLOC4-201",78,125,66,114,119,106
"NPM1-201",3649,4255,3050,5026,5996,5252
"NPM2-203",1,0,0,0,3,1
"NPM3-201",51,67,37,96,94,81
"NPNT-202",3,5,1,6,3,11
"NPPA-202",3,0,0,0,0,0
"NPPB-201",0,0,0,0,0,0
"NPPC-202",4,0,2,5,5,1
"NPR1-202",0,0,0,1,3,1
"NPR2-201",0,2,0,0,3,5
"NPR3-203",0,0,0,1,1,0
"NPRL2-201",13,21,11,19,25,20
"NPRL3-212",44,60,39,52,75,61
"NPS-201",0,0,0,0,0,0
"NPSR1-202",0,0,1,0,0,0
"NPTN-201",56,83,56,98,74,79
"NPTX1-201",65,54,42,39,62,46
"NPTX2-201",16,22,11,25,28,23
"NPTXR-201",2,2,3,4,2,6
"NPVF-201",1,0,0,0,0,0
"NPW-201",1,0,0,2,0,0
"NPY-203",0,0,0,0,0,0
"NPY1R-201",1,1,0,4,3,3
"NPY2R-201",0,0,1,0,0,0
"NPY4R-201",0,0,0,0,0,0
"NPY4R2-201",0,0,0,0,0,0
"NPY5R-203",1,2,1,2,0,6
"NQO1-201",6,7,1,5,10,7
"NQO2-205",11,32,16,32,30,19
"NR0B1-202",7,5,3,3,4,3
"NR0B2-201",0,0,0,0,1,0
"NR1D1-201",8,9,11,5,13,3
"NR1D2-201",32,49,29,42,71,49
"NR1H2-201",14,18,14,39,26,36
"NR1H3-217",3,11,1,10,8,6
"NR1H4-206",0,0,0,1,0,0
"NR1I2-201",0,0,0,0,0,0
"NR1I3-205",0,2,0,0,0,0
"NR2C1-202",41,49,31,38,50,33
"NR2C2-206",53,54,38,64,48,52
"NR2C2AP-201",5,6,4,4,9,5
"NR2E1-202",0,1,0,2,1,0
"NR2E3-202",0,0,0,0,0,0
"NR2F1-206",48,55,40,24,53,33
"NR2F2-201",142,137,95,108,172,111
"NR2F6-201",78,62,42,74,91,85
"NR3C1-202",79,86,48,57,73,63
"NR3C2-203",41,36,32,24,35,35
"NR4A1-201",20,10,8,26,28,34
"NR4A2-201",12,5,2,9,2,1
"NR4A3-203",9,8,6,6,12,8
"NR5A1-202",0,0,0,0,0,0
"NR5A2-203",4,4,0,5,6,5
"NR6A1-205",21,37,17,25,34,34
"NRAP-201",0,0,0,0,0,0
"NRARP-201",15,25,12,16,7,21
"NRAS-201",39,46,20,41,72,61
"NRBF2-201",31,29,29,40,54,37
"NRBP1-201",89,99,63,124,126,111
"NRBP2-202",11,11,6,6,10,5
"NRCAM-204",25,42,20,40,42,42
"NRDC-202",366,373,275,514,595,519
"NRDE2-201",43,78,50,54,76,71
"NREP-202",1,6,2,4,4,7
"NRF1-205",16,42,10,27,32,29
"NRG1-201",0,1,2,7,2,4
"NRG2-204",29,33,12,21,21,19
"NRG3-201",0,0,0,0,0,1
"NRG4-201",3,0,4,3,3,0
"NRGN-201",11,13,5,24,17,24
"NRIP1-203",64,95,48,72,71,68
"NRIP2-201",1,0,0,2,1,2
"NRIP3-201",15,3,3,11,10,7
"NRK-201",0,2,4,1,1,0
"NRL-206",0,0,0,0,1,2
"NRM-201",6,5,5,9,10,7
"NRN1-201",20,23,15,29,38,37
"NRN1L-201",0,0,0,0,0,0
"NRP1-201",39,59,13,45,50,32
"NRP2-204",38,32,24,42,44,48
"NRROS-201",0,2,1,0,4,2
"NRSN1-203",0,0,0,0,0,0
"NRSN2-202",5,4,4,11,21,18
"NRTN-201",2,1,1,2,2,1
"NRXN1-210",0,1,2,1,0,2
"NRXN2-201",9,2,6,7,8,3
"NRXN3-218",19,18,12,13,15,5
"NSA2-205",255,336,225,371,459,370
"NSD1-204",656,709,441,735,843,688
"NSD2-206",456,498,351,501,606,499
"NSD3-202",265,267,212,388,401,327
"NSDHL-201",51,64,56,73,79,57
"NSF-201",160,161,92,151,212,131
"NSFL1C-201",64,99,50,98,135,120
"NSG1-202",1,4,1,2,7,2
"NSG2-201",0,0,0,0,0,0
"NSL1-202",60,83,51,89,112,70
"NSMAF-201",33,55,33,31,50,43
"NSMCE1-201",44,55,36,60,110,70
"NSMCE2-201",35,35,19,53,55,50
"NSMCE3-201",23,34,26,34,45,43
"NSMCE4A-202",92,103,68,130,153,114
"NSMF-201",104,122,83,106,181,145
"NSRP1-201",239,290,163,270,337,324
"NSUN2-201",222,269,187,273,286,234
"NSUN3-201",3,6,3,3,14,4
"NSUN4-204",16,13,11,29,19,22
"NSUN5-204",166,184,116,148,188,130
"NSUN6-201",39,28,32,41,41,38
"NSUN7-202",0,0,0,0,0,0
"NT5C-201",31,39,22,52,31,37
"NT5C1A-201",1,4,1,1,3,2
"NT5C1B-202",0,0,0,0,0,0
"NT5C1B-RDH14-202",0,0,0,0,0,0
"NT5C2-201",43,54,36,57,50,52
"NT5C3A-203",20,27,17,30,38,32
"NT5C3B-203",149,181,143,240,270,226
"NT5DC1-201",37,55,24,49,63,29
"NT5DC2-201",207,258,162,297,434,279
"NT5DC3-201",32,50,13,29,50,55
"NT5DC4-201",0,0,0,0,0,0
"NT5E-201",1,1,1,0,2,2
"NT5M-201",2,3,2,0,2,4
"NTAN1-201",15,16,13,26,33,29
"NTF3-201",0,0,0,0,0,2
"NTF4-201",2,2,0,0,0,0
"NTHL1-201",32,34,32,33,45,42
"NTM-202",0,0,0,0,0,0
"NTMT1-209",33,40,18,54,43,48
"NTN1-201",22,22,11,31,31,18
"NTN3-201",2,1,1,0,2,2
"NTN4-201",7,6,3,12,3,9
"NTN5-201",0,0,0,0,0,0
"NTNG1-205",1,1,0,0,1,3
"NTNG2-202",1,0,1,0,1,1
"NTPCR-202",67,74,39,77,103,83
"NTRK1-206",1,0,0,1,3,2
"NTRK2-201",0,4,0,0,2,1
"NTRK3-205",0,0,0,2,2,0
"NTS-201",0,0,1,0,0,2
"NTSR1-201",0,0,0,0,0,0
"NTSR2-201",3,3,3,0,2,4
"NUAK1-201",16,19,9,23,14,11
"NUAK2-201",2,3,2,5,5,3
"NUB1-204",152,211,112,204,237,213
"NUBP1-201",29,24,26,33,42,32
"NUBP2-201",20,34,25,35,42,39
"NUBPL-201",16,12,9,23,24,20
"NUCB1-201",105,104,74,149,199,139
"NUCB2-208",134,137,90,191,191,197
"NUCKS1-201",1161,1362,863,1644,1916,1674
"NUDC-201",389,498,335,560,623,471
"NUDCD1-201",30,31,25,55,57,40
"NUDCD2-201",22,25,20,39,36,38
"NUDCD3-202",76,98,43,101,92,103
"NUDT1-206",13,14,9,24,32,19
"NUDT10-202",2,5,3,8,3,3
"NUDT11-201",14,9,3,7,17,12
"NUDT12-201",23,37,16,38,44,25
"NUDT13-202",8,8,4,9,15,8
"NUDT14-202",4,5,3,3,6,4
"NUDT15-201",10,15,7,10,17,15
"NUDT16-202",10,18,17,20,27,12
"NUDT16L1-201",4,4,10,13,9,13
"NUDT17-201",3,4,5,12,10,11
"NUDT18-201",2,5,2,7,8,2
"NUDT19-201",37,47,25,32,61,42
"NUDT2-203",4,7,10,5,16,12
"NUDT21-201",42,36,25,50,50,42
"NUDT22-201",6,2,6,14,10,11
"NUDT3-201",30,26,14,39,40,36
"NUDT4-201",0,0,0,0,0,0
"NUDT4B-201",0,0,0,0,0,0
"NUDT5-207",62,77,43,89,102,88
"NUDT6-201",8,4,2,13,10,10
"NUDT7-201",8,3,3,14,7,15
"NUDT8-201",1,5,5,6,2,14
"NUDT9-201",30,30,22,38,55,45
"NUF2-201",60,65,51,102,123,96
"NUFIP1-201",47,58,32,58,65,64
"NUFIP2-201",206,261,168,206,275,260
"NUGGC-201",0,0,2,0,0,0
"NUMA1-205",408,400,340,537,660,508
"NUMB-225",50,50,30,61,86,63
"NUMBL-201",35,50,21,45,66,28
"NUP107-201",207,270,178,284,341,288
"NUP133-201",225,263,178,331,408,310
"NUP153-201",482,565,336,483,585,498
"NUP155-201",325,380,218,420,438,466
"NUP160-201",195,264,192,257,293,281
"NUP188-201",337,441,288,511,632,445
"NUP205-201",730,787,572,988,1104,942
"NUP210-201",164,167,105,218,241,253
"NUP210L-203",4,2,0,1,2,0
"NUP214-201",228,250,188,270,280,215
"NUP35-201",19,50,26,30,40,29
"NUP37-209",22,22,13,37,33,29
"NUP43-201",85,125,93,116,151,106
"NUP50-201",226,250,174,258,279,214
"NUP54-201",80,109,59,111,121,90
"NUP58-201",97,84,55,95,95,87
"NUP62-208",106,167,83,134,157,136
"NUP62CL-201",19,19,12,35,31,28
"NUP85-201",62,71,53,72,88,75
"NUP88-207",156,162,78,187,238,180
"NUP93-201",133,179,114,198,245,194
"NUP98-201",287,388,225,385,465,369
"NUPL2-201",36,44,41,72,59,44
"NUPR1-201",1,1,2,2,2,0
"NUPR2-201",0,0,2,2,0,0
"NUS1-201",119,182,101,173,203,185
"NUSAP1-208",16,28,24,25,32,29
"NUTF2-201",70,73,45,101,117,94
"NUTM1-204",1,0,0,0,2,0
"NUTM2A-202",0,0,0,0,0,0
"NUTM2B-203",0,0,0,0,0,0
"NUTM2D-201",0,0,1,0,0,0
"NUTM2E-201",0,0,0,0,0,0
"NUTM2F-201",0,0,0,0,0,0
"NUTM2G-202",0,0,0,0,0,0
"NVL-201",129,181,96,183,208,168
"NWD1-206",0,0,0,1,0,0
"NWD2-201",0,2,2,3,4,0
"NXF1-213",121,152,78,110,130,130
"NXF2-202",0,0,0,0,0,0
"NXF2B-202",0,0,0,0,0,0
"NXF3-201",0,0,1,0,0,0
"NXF5-205",0,0,0,0,0,0
"NXN-201",55,49,41,61,80,64
"NXNL1-201",0,0,0,0,2,0
"NXNL2-201",0,0,0,0,0,0
"NXPE1-203",0,0,0,0,1,0
"NXPE2-201",0,0,0,0,0,0
"NXPE3-205",23,19,20,28,27,23
"NXPE4-201",0,0,0,0,0,0
"NXPH1-201",0,0,0,0,0,0
"NXPH2-201",0,0,0,0,1,1
"NXPH3-201",1,0,0,0,0,0
"NXPH4-201",7,13,6,9,10,14
"NXT1-201",11,8,8,16,8,10
"NXT2-203",3,1,2,1,2,3
"NYAP1-201",3,2,2,2,1,2
"NYAP2-202",0,0,0,0,0,0
"NYNRIN-201",37,60,28,54,69,53
"NYX-201",0,0,0,0,0,0
"OAF-201",22,20,9,20,22,24
"OARD1-210",8,6,6,8,11,6
"OAS1-202",0,0,0,0,0,0
"OAS2-201",0,0,0,0,0,0
"OAS3-201",0,0,3,3,6,1
"OASL-201",1,0,0,0,2,0
"OAT-201",97,119,74,153,162,159
"OAZ1-211",246,278,176,391,462,397
"OAZ2-201",12,15,6,16,24,13
"OAZ3-202",3,1,2,2,2,2
"OBP2A-206",0,0,0,0,0,0
"OBP2B-205",0,0,0,0,0,0
"OBSCN-210",31,37,27,29,35,30
"OBSL1-204",145,134,101,218,212,192
"OC90-201",0,0,0,0,0,0
"OCA2-202",13,11,5,10,17,17
"OCEL1-201",10,12,4,11,12,3
"OCIAD1-202",65,85,38,86,103,83
"OCIAD2-205",0,0,0,0,0,0
"OCLM-201",0,0,0,0,0,3
"OCLN-201",63,97,44,96,109,98
"OCM-201",0,0,0,0,0,0
"OCM2-201",0,0,0,0,0,0
"OCRL-202",89,131,69,132,170,122
"OCSTAMP-201",0,0,0,0,0,0
"ODAM-201",1,0,0,0,0,0
"ODAPH-201",0,0,0,0,0,0
"ODC1-201",378,415,306,418,520,472
"ODF1-201",0,0,0,0,0,0
"ODF2-202",164,163,107,189,276,203
"ODF2L-201",68,49,37,48,83,61
"ODF3-201",0,1,0,0,0,0
"ODF3B-201",0,1,0,0,1,0
"ODF3L1-201",0,0,0,1,2,0
"ODF3L2-201",4,1,2,0,1,5
"ODF4-201",1,0,0,1,0,0
"ODR4-201",29,46,16,53,42,47
"OFD1-201",108,101,64,116,167,120
"OGA-202",245,310,161,312,355,329
"OGDH-201",85,122,58,115,135,123
"OGDHL-201",23,32,16,36,44,25
"OGFOD1-207",136,141,76,166,203,165
"OGFOD2-201",4,7,4,8,2,3
"OGFOD3-201",12,14,4,22,27,20
"OGFR-201",58,73,58,62,57,51
"OGFRL1-201",61,75,36,88,109,96
"OGG1-203",8,20,8,9,13,8
"OGN-201",0,0,1,1,0,0
"OGT-202",236,280,179,232,251,209
"OIP5-201",9,9,3,11,15,26
"OIT3-201",0,0,0,0,0,0
"OLA1-201",305,338,200,405,496,394
"OLAH-203",0,0,1,0,0,0
"OLFM1-204",1,0,1,0,1,0
"OLFM2-201",6,1,6,5,5,4
"OLFM3-202",0,0,0,0,0,0
"OLFM4-201",0,0,0,0,0,0
"OLFML1-201",0,0,0,0,1,0
"OLFML2A-203",0,2,0,2,2,3
"OLFML2B-201",2,2,4,4,9,3
"OLFML3-201",2,4,1,0,0,2
"OLIG1-201",0,0,2,3,0,1
"OLIG2-201",5,2,3,5,3,3
"OLIG3-201",0,0,0,1,0,0
"OLR1-201",0,0,0,0,0,0
"OMA1-201",51,67,34,55,64,63
"OMD-201",0,0,1,0,0,0
"OMG-201",0,0,0,0,0,3
"OMP-201",0,0,0,0,0,0
"ONECUT1-201",4,2,1,0,7,3
"ONECUT2-202",53,43,26,49,45,50
"ONECUT3-201",1,0,0,0,0,0
"OOEP-201",0,0,0,0,0,0
"OOSP1-202",0,0,0,0,0,0
"OOSP2-201",0,0,0,0,0,0
"OOSP3-201",0,0,0,0,0,0
"OOSP4A-201",0,0,0,0,0,0
"OOSP4B-202",0,0,0,0,0,0
"OPA1-205",171,204,128,241,308,280
"OPA3-201",6,12,4,14,9,6
"OPALIN-201",0,0,2,0,0,0
"OPCML-201",1,0,0,0,0,0
"OPHN1-201",14,18,11,20,36,20
"OPLAH-204",0,0,0,0,0,0
"OPN1LW-201",0,0,0,0,0,0
"OPN1MW-201",0,0,0,0,0,0
"OPN1MW2-201",0,0,0,0,0,0
"OPN1MW3-201",0,0,0,0,0,0
"OPN1SW-201",2,1,0,2,1,2
"OPN3-201",0,2,0,2,0,1
"OPN4-201",0,0,0,0,0,0
"OPN5-202",0,1,0,0,0,0
"OPRD1-201",1,2,1,1,2,1
"OPRK1-201",0,0,0,0,0,1
"OPRL1-202",2,1,0,1,1,0
"OPRM1-207",0,0,0,0,0,0
"OPRPN-201",0,1,0,0,1,0
"OPTC-201",0,0,0,0,0,0
"OPTN-204",22,20,14,50,56,36
"OR10A2-202",0,0,0,0,0,0
"OR10A3-202",0,0,0,0,0,0
"OR10A4-201",1,0,0,0,0,0
"OR10A5-201",0,0,0,0,0,0
"OR10A6-204",0,0,0,0,0,0
"OR10A7-201",0,0,0,0,1,0
"OR10AD1-201",0,4,0,2,1,0
"OR10AG1-201",0,0,0,0,0,0
"OR10C1-203",0,1,0,0,0,0
"OR10D3-203",0,0,0,0,0,0
"OR10G2-201",0,0,0,0,0,0
"OR10G3-203",0,0,0,0,0,0
"OR10G4-202",0,0,0,0,0,0
"OR10G6-201",0,0,0,0,0,0
"OR10G7-202",0,0,0,0,0,0
"OR10G8-201",0,0,0,0,0,0
"OR10G9-201",0,0,0,0,0,0
"OR10H1-202",0,0,0,0,0,0
"OR10H2-201",0,0,0,0,0,0
"OR10H3-202",0,0,0,0,0,0
"OR10H4-201",0,0,0,0,0,1
"OR10H5-202",0,0,0,0,0,0
"OR10J1-203",0,0,0,0,0,0
"OR10J5-201",0,0,0,0,0,0
"OR10K1-203",0,0,0,0,0,0
"OR10K2-202",0,0,0,0,0,0
"OR10P1-201",0,0,0,0,1,1
"OR10Q1-201",0,0,0,0,0,0
"OR10R2-201",0,0,0,0,0,0
"OR10S1-201",0,0,0,0,0,0
"OR10T2-201",0,0,0,0,0,0
"OR10V1-201",0,0,0,0,0,0
"OR10W1-201",0,0,0,0,0,0
"OR10X1-201",0,1,0,0,2,0
"OR10Z1-202",0,0,0,0,0,0
"OR11A1-203",0,0,0,0,0,0
"OR11G2-201",0,0,0,0,0,0
"OR11H1-201",0,0,0,0,0,0
"OR11H12-201",0,0,0,0,0,0
"OR11H2-202",0,0,0,0,0,0
"OR11H4-201",0,0,0,0,0,0
"OR11H6-201",0,0,0,0,0,1
"OR11L1-201",0,0,0,0,0,0
"OR12D2-207",0,0,0,0,0,0
"OR12D3-201",0,0,0,0,0,0
"OR13A1-201",0,0,0,0,0,0
"OR13C2-201",0,0,0,0,0,0
"OR13C3-202",0,0,0,0,0,0
"OR13C4-201",0,0,0,0,0,0
"OR13C5-201",0,0,0,0,0,0
"OR13C8-201",0,0,0,0,0,0
"OR13C9-201",0,0,0,0,0,0
"OR13D1-201",0,0,0,0,0,0
"OR13F1-201",0,0,0,0,0,0
"OR13G1-202",0,0,0,0,0,0
"OR13H1-201",0,0,0,1,0,0
"OR13J1-201",1,0,0,0,0,0
"OR14A16-202",0,0,0,0,0,0
"OR14A2-201",0,0,0,0,0,0
"OR14C36-201",0,0,0,0,0,0
"OR14I1-201",0,0,0,0,0,0
"OR14J1-203",0,1,0,0,0,0
"OR14K1-201",0,0,0,0,0,0
"OR1A1-203",0,0,0,0,0,0
"OR1A2-201",0,0,0,0,0,0
"OR1B1-201",0,0,1,0,0,0
"OR1C1-202",0,0,0,0,0,0
"OR1D2-203",0,0,0,1,0,0
"OR1D5-201",0,0,0,0,0,0
"OR1E1-201",0,0,0,0,0,0
"OR1E2-201",0,0,0,0,0,0
"OR1F1-201",0,1,1,1,1,2
"OR1G1-201",0,0,0,0,0,0
"OR1I1-202",0,0,0,0,0,0
"OR1J1-201",1,1,0,0,0,0
"OR1J2-201",0,0,0,0,0,0
"OR1J4-201",0,0,0,0,0,0
"OR1K1-201",0,0,0,0,0,0
"OR1L1-201",0,0,0,0,0,0
"OR1L3-201",0,0,0,0,0,0
"OR1L4-201",0,0,0,0,0,0
"OR1L6-201",0,0,0,0,0,0
"OR1L8-202",0,0,0,0,1,0
"OR1M1-202",0,0,0,0,0,0
"OR1N1-201",0,0,0,0,0,0
"OR1N2-202",0,0,0,0,0,0
"OR1Q1-201",0,0,0,0,0,0
"OR1S1-201",0,0,0,0,0,0
"OR1S2-201",0,0,0,0,0,0
"OR2A1-202",0,0,0,0,0,0
"OR2A12-202",0,0,0,0,0,0
"OR2A14-202",0,0,0,0,0,0
"OR2A2-201",0,0,0,1,0,0
"OR2A25-203",0,0,0,0,0,0
"OR2A4-201",0,0,0,0,0,0
"OR2A42-202",0,0,0,0,0,0
"OR2A5-202",0,0,0,0,0,0
"OR2A7-202",0,0,0,0,0,0
"OR2AE1-201",0,0,0,0,0,0
"OR2AG1-202",0,0,0,0,1,0
"OR2AG2-202",0,0,0,0,0,0
"OR2AJ1-201",0,0,0,0,0,0
"OR2AK2-202",0,0,0,0,0,0
"OR2AP1-202",0,0,0,0,1,0
"OR2AT4-203",0,2,0,1,0,0
"OR2B11-202",0,0,0,0,0,0
"OR2B2-201",1,3,0,0,1,0
"OR2B3-201",0,0,0,0,0,0
"OR2B6-201",3,1,0,0,1,1
"OR2C1-201",0,0,0,0,0,1
"OR2C3-202",0,0,0,0,0,0
"OR2D2-201",0,0,0,0,0,0
"OR2D3-201",0,0,0,0,0,0
"OR2F1-203",0,0,0,0,0,0
"OR2F2-201",0,0,0,0,0,0
"OR2G2-201",1,0,0,0,0,0
"OR2G3-201",0,0,0,0,0,0
"OR2G6-203",0,0,0,0,0,0
"OR2H1-203",0,0,0,0,0,0
"OR2H2-202",0,4,0,0,0,0
"OR2I1P-207",0,1,0,1,1,0
"OR2J1-202",0,0,0,0,0,0
"OR2J2-203",0,0,0,0,0,0
"OR2J3-203",0,0,0,0,0,0
"OR2K2-201",0,0,0,0,0,1
"OR2L13-202",0,1,0,0,0,0
"OR2L2-202",0,0,0,0,0,0
"OR2L3-203",0,0,0,0,1,0
"OR2L5-201",0,0,0,0,0,0
"OR2L8-201",0,0,0,0,0,0
"OR2M2-202",0,0,0,0,0,0
"OR2M3-202",0,0,0,0,0,0
"OR2M4-202",0,0,0,0,0,0
"OR2M5-201",0,0,0,0,0,0
"OR2M7-201",0,0,0,0,0,0
"OR2S2-201",0,0,1,0,0,0
"OR2T1-202",0,0,0,1,0,0
"OR2T10-202",0,0,0,0,0,0
"OR2T11-202",0,0,0,0,0,0
"OR2T12-202",0,0,0,0,0,0
"OR2T2-202",0,0,0,0,0,0
"OR2T27-203",0,0,0,0,0,0
"OR2T29-202",0,0,0,0,0,0
"OR2T3-201",0,0,0,0,0,0
"OR2T33-202",0,0,0,0,0,0
"OR2T34-201",0,0,0,0,0,0
"OR2T35-202",0,0,0,0,0,0
"OR2T4-202",0,0,0,0,0,0
"OR2T5-201",0,0,0,0,0,0
"OR2T6-202",0,0,0,0,0,0
"OR2T8-202",0,0,0,0,0,0
"OR2V1-202",0,0,0,0,0,0
"OR2V2-202",0,0,0,0,0,1
"OR2W1-201",0,0,0,0,0,0
"OR2W3-201",1,1,1,1,1,0
"OR2Y1-201",1,0,0,0,0,0
"OR2Z1-202",0,0,0,0,0,0
"OR3A1-201",0,0,0,1,1,1
"OR3A2-205",0,0,0,0,0,0
"OR3A3-201",0,0,0,0,0,0
"OR4A15-201",0,0,0,0,0,0
"OR4A16-201",0,0,0,0,0,0
"OR4A47-201",0,0,0,0,0,0
"OR4A5-201",0,0,0,0,0,0
"OR4B1-201",0,0,0,0,0,0
"OR4C11-202",0,0,0,0,0,0
"OR4C12-201",1,0,0,0,0,0
"OR4C13-201",0,0,0,0,0,0
"OR4C15-201",0,0,0,1,0,0
"OR4C16-201",0,0,0,0,0,0
"OR4C3-201",0,0,0,0,0,1
"OR4C46-201",0,0,0,0,0,0
"OR4C5-201",0,0,0,0,0,0
"OR4C6-202",0,0,0,0,1,0
"OR4D1-202",0,0,0,0,0,0
"OR4D10-201",0,0,0,0,0,0
"OR4D11-201",0,0,0,1,0,0
"OR4D2-202",0,1,0,0,0,0
"OR4D5-201",0,0,0,0,0,0
"OR4D6-201",0,0,0,0,0,1
"OR4D9-203",0,0,0,0,0,0
"OR4E1-202",0,0,0,0,0,0
"OR4E2-202",0,0,0,0,0,0
"OR4F15-201",0,0,0,0,0,0
"OR4F16-201",0,0,0,0,0,0
"OR4F17-202",0,0,0,0,0,0
"OR4F21-201",0,0,0,0,0,0
"OR4F29-201",0,0,0,0,0,0
"OR4F3-201",0,0,0,0,0,0
"OR4F4-201",0,0,0,0,0,0
"OR4F5-201",0,0,0,0,0,0
"OR4F6-201",0,0,0,0,0,0
"OR4K1-203",0,0,0,0,0,0
"OR4K13-202",0,0,0,0,0,0
"OR4K14-202",0,0,0,0,0,0
"OR4K15-202",0,0,0,0,2,0
"OR4K17-201",0,0,0,0,0,0
"OR4K2-204",0,0,0,0,0,0
"OR4K5-201",0,0,0,0,1,0
"OR4L1-201",0,0,0,0,0,0
"OR4M1-202",0,0,0,0,0,0
"OR4M2-201",0,0,0,0,0,0
"OR4N2-204",0,0,0,0,0,0
"OR4N4-201",0,0,0,0,0,0
"OR4N5-202",0,0,0,0,0,0
"OR4P4-202",0,0,0,0,0,0
"OR4Q3-201",0,0,0,0,0,0
"OR4S1-201",0,0,1,0,0,0
"OR4S2-202",0,0,0,0,0,0
"OR4X1-201",0,0,0,0,0,0
"OR4X2-201",0,0,0,0,0,0
"OR51A2-201",0,0,0,0,0,0
"OR51A4-202",0,0,0,0,0,0
"OR51A7-202",0,0,0,0,0,0
"OR51B2-201",0,0,0,0,0,0
"OR51B4-201",0,0,0,0,0,0
"OR51B5-201",0,0,0,0,0,0
"OR51B6-201",0,0,0,0,0,0
"OR51C1P-201",0,0,0,0,0,1
"OR51D1-202",0,0,0,0,0,0
"OR51E1-201",0,0,0,0,0,0
"OR51E2-201",1,0,0,0,0,1
"OR51F1-201",0,0,0,0,0,0
"OR51F2-202",0,0,0,0,0,0
"OR51G1-201",0,0,0,0,0,0
"OR51G2-202",0,0,0,0,0,0
"OR51I1-201",0,0,0,1,0,0
"OR51I2-202",0,0,0,0,0,0
"OR51L1-203",0,0,0,0,0,0
"OR51M1-203",0,0,0,0,0,0
"OR51Q1-201",0,0,0,0,0,0
"OR51S1-201",0,0,0,0,0,0
"OR51T1-202",0,0,0,0,0,0
"OR51V1-201",0,0,0,0,0,0
"OR52A1-202",0,0,0,0,0,0
"OR52A5-202",0,0,0,0,0,1
"OR52B2-201",0,0,0,0,0,0
"OR52B4-201",0,0,0,0,0,0
"OR52B6-201",0,0,0,0,0,0
"OR52D1-201",0,0,0,0,0,0
"OR52E2-201",0,0,0,0,0,0
"OR52E4-202",0,0,0,0,0,0
"OR52E5-201",0,0,0,0,0,0
"OR52E6-201",0,0,0,0,0,0
"OR52E8-201",0,0,0,0,0,0
"OR52H1-201",0,0,0,0,0,0
"OR52I1-202",0,0,0,0,0,0
"OR52I2-203",0,0,0,0,0,0
"OR52J3-201",0,0,0,0,0,0
"OR52K1-202",0,0,0,0,0,0
"OR52K2-201",0,0,0,0,0,0
"OR52L1-201",0,0,0,0,0,0
"OR52M1-201",0,0,0,0,0,0
"OR52N1-202",0,0,0,0,0,0
"OR52N2-201",0,1,0,0,0,0
"OR52N4-202",0,0,0,0,0,0
"OR52N5-202",0,0,0,0,0,0
"OR52R1-201",0,0,0,0,0,0
"OR52W1-201",0,0,1,3,0,0
"OR56A1-203",0,0,0,0,0,0
"OR56A3-205",0,0,0,0,0,0
"OR56A4-202",0,0,0,0,1,0
"OR56A5-202",0,0,0,0,0,0
"OR56B1-201",0,0,0,0,0,0
"OR56B4-201",1,2,1,1,1,0
"OR5A1-202",0,0,0,1,1,0
"OR5A2-203",0,0,0,0,0,0
"OR5AC2-201",0,0,0,0,0,0
"OR5AK2-201",0,0,0,0,0,0
"OR5AN1-202",0,0,0,1,0,0
"OR5AP2-201",0,0,0,0,0,0
"OR5AR1-201",0,0,0,0,0,0
"OR5AS1-202",0,0,0,0,0,2
"OR5AU1-204",0,0,0,0,0,0
"OR5B12-202",0,0,0,0,0,0
"OR5B17-201",0,0,0,0,0,0
"OR5B2-202",0,0,0,0,0,0
"OR5B21-201",0,0,0,0,0,0
"OR5B3-202",0,0,0,0,1,0
"OR5BS1P-201",0,0,0,0,0,0
"OR5C1-201",0,0,0,0,1,0
"OR5D13-201",0,0,2,0,1,0
"OR5D14-201",0,0,0,0,0,0
"OR5D16-201",0,0,0,0,0,0
"OR5D18-201",0,0,0,0,0,0
"OR5D3P-201",0,0,0,0,0,0
"OR5F1-201",0,0,0,0,0,0
"OR5H1-202",0,0,0,0,0,0
"OR5H14-202",0,0,0,0,0,0
"OR5H15-202",0,0,0,0,0,0
"OR5H2-202",0,0,0,0,0,0
"OR5H6-203",0,0,0,0,0,0
"OR5I1-201",0,0,0,0,0,0
"OR5J2-201",0,0,0,0,0,0
"OR5K1-202",0,0,0,0,0,0
"OR5K2-201",0,0,0,0,0,0
"OR5K3-201",0,0,0,0,0,0
"OR5K4-201",0,0,0,0,0,0
"OR5L1-201",0,0,0,0,0,0
"OR5L2-201",0,0,0,0,0,0
"OR5M1-202",0,0,0,0,0,0
"OR5M10-201",0,0,0,0,0,0
"OR5M11-201",0,0,0,0,1,2
"OR5M3-202",0,0,0,0,0,1
"OR5M8-201",0,0,0,0,4,1
"OR5M9-201",0,0,0,0,0,0
"OR5P2-201",0,0,0,0,0,0
"OR5P3-202",0,0,0,0,0,0
"OR5R1-201",0,0,0,0,0,0
"OR5T1-202",0,0,0,0,0,0
"OR5T2-201",0,0,0,0,0,0
"OR5T3-201",0,0,0,0,0,0
"OR5V1-217",0,0,0,0,0,0
"OR5W2-201",0,0,0,0,2,0
